,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,20,20,0.4382193573,131,18.6097195375,255,-368,109,0.3559782609,87,-52,0.4230769231,11,15,53.8181818182,-33.6666666667
1,m,3,3,0.1520055658,44,18.0199373227,255,-422,109,0.1042654028,14,-52,0.3846153846,10,15,58.9,-38.3333333333
2,m,4,4,0.0586294714,17,18.0506577919,255,-400,109,0.0425,-6,-46,0.3913043478,9,14,62.5555555556,-40.6428571429
3,m,11,11,0.0171693315,5,18.1291193484,255,-434,109,0.0115207373,-19,-48,0.375,9,15,64.6666666667,-40.0666666667
4,m,10,10,-0.013848647,-4,17.9809541905,255,-456,109,-0.0087719298,-53,-58,0.4137931034,12,16,45.9166666667,-37.75
5,m,12,12,-0.0231776138,-7,18.8013661594,255,-403,109,-0.017369727,-24,-46,0.4347826087,10,13,57.5,-46.0769230769
6,m,5,5,-0.0296748125,-9,18.8805489161,255,-373,109,-0.0241286863,-22,-44,0.4545454545,10,12,54.5,-47.25
7,m,2,2,-0.1846675356,-59,19.8893938637,255,-523,109,-0.1128107075,-102,-56,0.4285714286,12,16,47.9166666667,-42.3125
8,m,9,9,-0.2209727888,-71,20.0022864217,255,-557,109,-0.1274685817,-135,-62,0.4516129032,14,17,39.2142857143,-40.2352941176
9,m,1,1,-0.2302399047,-71,19.1971978939,255,-481,109,-0.1476091476,-126,-64,0.4375,14,18,37.7857142857,-36.3888888889
0,RM,16,16,-0.0059289608,-2,20.9996235731,255,-330,129,-0.0060606061,-93,-73,0.4444444444,16,20,36.9375,-34.2
1,RM,0,0,-0.1507377969,-51,21.0624119429,255,-352,129,-0.1448863636,-127,-71,0.4285714286,15,19,38,-36.6842105263
2,RM,7,7,-0.1577018798,-52,20.5270511053,255,-345,164,-0.1507246377,-120,-75,0.4324324324,16,20,35.5,-34.4
3,RM,15,15,-0.1825124781,-61,20.8064201028,255,-350,129,-0.1742857143,-131,-81,0.425,17,21,34.5882352941,-34.2380952381
4,RM,1,1,-0.3282510986,-118,22.3787543438,255,-398,129,-0.2964824121,-205,-67,0.4242424242,14,19,35.7857142857,-37.1578947368
5,RM,14,14,-0.3540775858,-115,20.2189917401,255,-411,164,-0.2798053528,-200,-87,0.4186046512,18,24,33.1666666667,-33.2083333333
6,RM,4,4,-0.3918950175,-155,24.6219273884,255,-446,254,-0.3475336323,-310,-51,0.36,9,16,50.3333333333,-47.6875
7,RM,18,18,-0.4524671624,-164,22.5640405763,255,-377,164,-0.4350132626,-319,-67,0.3333333333,11,22,44.2727272727,-36.6363636364
8,RM,3,3,-0.4626756061,-183,24.6226378289,255,-420,254,-0.4357142857,-327,-55,0.4074074074,11,16,41.9090909091,-49.25
9,RM,17,17,-0.4797783807,-164,21.2795903743,255,-415,164,-0.3951807229,-254,-73,0.3611111111,13,22,38.1538461538,-34.0909090909
0,y,1,1,0.8394495228,486,36.0414099749,255,-274,47,1.7737226277,400,-112,0.3928571429,11,17,101.4545454545,-42.1176470588
1,y,8,8,0.755471065,424,34.938810183,255,-268,87,1.5820895522,306,-116,0.3448275862,10,19,113.6,-43.6842105263
2,y,10,10,0.7194857329,436,37.7245782103,255,-256,87,1.703125,324,-100,0.4,10,15,106.2,-49.2
3,y,14,14,0.657798754,332,31.4199237796,255,-396,87,0.8383838384,146,-164,0.3170731707,13,27,93.5384615385,-39.6296296296
4,y,11,11,0.6371423023,400,39.0826173688,255,-278,31,1.4388489209,372,-94,0.4782608696,11,11,86.5454545455,-52.7272727273
5,y,3,3,0.6312601734,400,39.4467920824,255,-326,51,1.226993865,306,-96,0.4583333333,11,13,95.2727272727,-57.0769230769
