,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,1,1,-0.7486607169,-226,18.792453457,255,-463,103,-0.4881209503,-336,-118,0.3559322034,21,37,27.380952381,-24.6216216216
1,m,9,9,-0.7886785916,-231,18.2335829704,255,-515,113,-0.4485436893,-345,-112,0.3928571429,22,34,26.1363636364,-27.0588235294
2,m,14,14,-0.8534900716,-235,17.1407365047,255,-510,248,-0.4607843137,-400,-154,0.3636363636,28,48,22.3571428571,-21.375
3,m,16,16,-0.9128779326,-257,17.5259070681,255,-507,226,-0.5069033531,-401,-144,0.3472222222,25,45,23.12,-21.7555555556
4,m,8,8,-0.921645519,-282,19.0478201758,255,-499,103,-0.5651302605,-400,-126,0.3650793651,23,39,26.7826086957,-26.0512820513
5,m,0,0,-1.0125385519,-293,18.0142482163,255,-515,329,-0.5689320388,-412,-138,0.347826087,24,44,25.1666666667,-23.0909090909
6,m,15,15,-1.0541764806,-289,17.0665056997,255,-527,248,-0.5483870968,-438,-150,0.36,27,47,22.6296296296,-22.3191489362
7,m,4,4,-1.0639966683,-298,17.4355674381,255,-506,330,-0.5889328063,-393,-90,0.2666666667,12,33,44.3333333333,-28.0303030303
8,m,2,2,-1.1078262353,-329,18.4877620184,255,-539,113,-0.6103896104,-451,-110,0.3454545455,19,36,26.7368421053,-26.6388888889
9,m,7,7,-1.108890478,-327,18.3577388891,255,-557,329,-0.5870736086,-447,-144,0.3472222222,25,46,24.44,-23
0,RM,15,15,-0.1014483806,-29,17.7956136727,255,-329,245,-0.0881458967,-168,-147,0.301369863,22,49,31.5454545455,-17.5918367347
1,RM,16,16,-0.1295778613,-38,18.2563048385,255,-328,150,-0.1158536585,-174,-133,0.303030303,20,46,32.05,-17.7173913043
2,RM,14,14,-0.1524340668,-43,17.560889461,255,-355,245,-0.1211267606,-237,-165,0.2926829268,24,57,30.4166666667,-16.9649122807
3,RM,0,0,-0.20454244,-59,17.9567885765,255,-385,245,-0.1532467532,-175,-129,0.296875,19,44,33.6315789474,-18.5
4,RM,7,7,-0.26302448,-73,17.2777338346,255,-416,245,-0.1754807692,-209,-141,0.3,21,48,30.1904761905,-17.5625
5,RM,17,17,-0.3918333034,-117,18.5885111465,255,-380,150,-0.3078947368,-246,-125,0.2903225806,18,44,33.6666666667,-19.3636363636
