,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,36,1,15,1.0284453150704804,234.0,14.164287823959999,255,-225.0,127,1.04,143.0,-78.0,0.48717948717948717,19,20,29.63157894736842,-21.0
1,m,37,1,16,0.9572950686731369,217.0,14.111526708436656,255,-190.0,127,1.1421052631578947,158.0,-66.0,0.45454545454545453,15,18,32.53333333333333,-18.333333333333332
2,m,35,1,14,0.8472329555257241,192.0,14.107773488807041,255,-206.0,127,0.9320388349514563,116.0,-86.0,0.4418604651162791,19,23,31.42105263157895,-20.91304347826087
3,m,22,1,1,0.8276673933434792,198.0,14.892562592283317,255,-244.0,109,0.8114754098360656,164.0,-50.0,0.4,10,15,53.2,-24.533333333333335
4,m,23,1,2,0.7618228287740836,190.0,15.526004522328284,255,-273.0,109,0.6959706959706959,183.0,-40.0,0.45,9,11,60.111111111111114,-32.54545454545455
5,m,38,1,17,0.7530192729514359,177.0,14.6327941982759,255,-229.0,127,0.7729257641921398,117.0,-60.0,0.4,12,16,38.916666666666664,-21.875
6,m,24,1,3,0.7319182838281528,181.0,15.394871511611901,255,-280.0,109,0.6464285714285715,156.0,-38.0,0.47368421052631576,9,10,60.333333333333336,-38.7
7,m,21,1,0,0.7092104291891977,171.0,15.010013640737862,255,-266.0,127,0.6428571428571429,109.0,-64.0,0.375,12,20,46.75,-22.6
8,m,41,1,20,0.7006629170534016,179.0,15.903912882026424,255,-267.0,109,0.6704119850187266,165.0,-40.0,0.45,9,11,58.888888888888886,-33.18181818181818
9,m,39,1,18,0.6912838831023085,166.0,14.948986384264883,255,-205.0,109,0.8097560975609757,129.0,-52.0,0.4230769230769231,11,15,42.09090909090909,-22.266666666666666
0,RM,36,1,15,1.2765792277574892,301.0,14.678403166919994,255,-124.0,39,2.4274193548387095,256.0,-71.0,0.45714285714285713,16,19,38.5,-18.94736842105263
1,RM,35,1,14,1.1514044702952009,266.0,14.381818888038154,255,-145.0,39,1.8344827586206895,206.0,-83.0,0.43902439024390244,18,22,33.833333333333336,-18.318181818181817
2,RM,37,1,16,1.1417203359304973,273.0,14.885485375004315,255,-154.0,39,1.7727272727272727,196.0,-63.0,0.41935483870967744,13,16,40.92307692307692,-21.0
3,RM,28,1,7,1.117841900190562,255.0,14.201031347707907,255,-122.0,39,2.0901639344262297,204.0,-67.0,0.48484848484848486,16,17,33.9375,-19.941176470588236
