,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,29,4,5,0.36583803845984797,1516.0,89.13622760630889,738,-1641.0,195,0.9238269347958562,719.0,-184.0,0.3888888888888889,35,55,113.65714285714286,-59.25454545454546
1,m,25,4,1,0.3323081257938698,704.0,45.569640944974786,738,-864.0,387,0.8148148148148148,221.0,-140.0,0.2608695652173913,18,51,119.83333333333333,-37.96078431372549
2,m,28,4,4,0.31459389017911593,1002.0,68.51116401191919,738,-1315.0,195,0.7619771863117871,380.0,-149.0,0.3698630136986301,27,46,114.4074074074074,-58.891304347826086
3,m,27,4,3,0.16319399166039453,362.0,47.71427330837637,738,-981.0,195,0.3690112130479103,-69.0,-108.0,0.3584905660377358,19,34,117.89473684210526,-67.91176470588235
4,m,19,3,1,0.14302281991350413,277.0,41.659911312152225,738,-1310.0,769,0.21145038167938932,-234.0,-168.0,0.30120481927710846,25,58,72.32,-35.206896551724135
5,m,1,0,1,0.11302600576809986,234.0,44.532941855241035,738,-1709.0,786,0.1369221767115272,-385.0,-276.0,0.26277372262773724,36,101,85.30555555555556,-34.21782178217822
6,m,0,0,0,0.06925683110649512,82.0,25.46801779977738,738,-1021.0,784,0.08031341821743389,-255.0,-157.0,0.28205128205128205,22,56,82.13636363636364,-36.82142857142857
7,m,13,2,1,0.06578074271326796,138.0,45.12572810121495,738,-1574.0,769,0.08767471410419314,-405.0,-200.0,0.30303030303030304,30,69,74.2,-38.130434782608695
8,m,5,0,5,0.0616675587763904,228.0,79.52835495272492,738,-2562.0,786,0.08899297423887588,-761.0,-376.0,0.3279569892473118,61,125,82.93442622950819,-46.56
9,m,26,4,2,0.057685351553668024,76.0,28.33948522080763,738,-667.0,195,0.11394302848575712,-167.0,-63.0,0.3225806451612903,10,21,132.4,-71.0
0,RM,25,4,1,0.742856909941848,1317.0,41.94289060698177,671,-899.0,229,1.4649610678531702,1099.0,-108.0,0.2830188679245283,15,38,161.8,-34.94736842105263
1,RM,29,4,5,0.6610149344129203,2272.0,81.31577501409659,671,-1872.0,242,1.2136752136752136,1950.0,-150.0,0.3835616438356164,28,45,160.35714285714286,-56.44444444444444
2,RM,28,4,4,0.6314164379605618,1649.0,61.78492473586789,671,-1369.0,242,1.2045288531775018,1396.0,-117.0,0.38596491228070173,22,35,157.0,-58.8
3,RM,24,4,0,0.6099222361321758,571.0,22.148248705078338,671,-468.0,374,1.2200854700854702,451.0,-59.0,0.27586206896551724,8,21,160.875,-39.80952380952381
4,RM,27,4,3,0.5028716521137705,908.0,42.71756062776301,671,-1020.0,370,0.8901960784313725,723.0,-86.0,0.3333333333333333,14,28,168.28571428571428,-58.32142857142857
5,RM,1,0,1,0.4661505274602347,748.0,37.962356923480186,671,-766.0,253,0.9765013054830287,393.0,-234.0,0.3017241379310345,35,80,77.91428571428571,-29.175
6,RM,0,0,0,0.3905263576108092,350.0,21.202908722650328,671,-469.0,255,0.746268656716418,153.0,-131.0,0.3076923076923077,20,44,77.45,-31.727272727272727
7,RM,26,4,2,0.360725609168614,369.0,24.20065613691345,671,-629.0,306,0.5866454689984102,259.0,-49.0,0.375,9,15,149.77777777777777,-72.6
8,RM,5,0,5,0.2594889335993988,713.0,65.00525089109988,671,-1675.0,255,0.4256716417910448,171.0,-346.0,0.3567251461988304,61,109,76.63934426229508,-41.321100917431195
9,RM,4,0,4,0.24375813914232275,519.0,50.37162740547969,671,-1249.0,255,0.4155324259407526,90.0,-273.0,0.34814814814814815,47,87,78.55319148936171,-41.40229885057471
0,y,25,4,1,0.4994816417837828,1770.0,76.22503709135009,738,-2044.0,412,0.8659491193737769,1420.0,-268.0,0.25757575757575757,17,49,309.1764705882353,-78.28571428571429
1,y,29,4,5,0.47801016278220027,3178.0,143.00811142714707,738,-3770.0,433,0.8429708222811672,2776.0,-330.0,0.32098765432098764,26,55,364.7692307692308,-121.96363636363637
2,y,24,4,0,0.24733223145741443,498.0,43.31043398873344,738,-1228.0,412,0.40553745928338764,286.0,-154.0,0.23684210526315788,9,29,316.44444444444446,-88.34482758620689
3,y,28,4,4,0.23786113021377198,1210.0,109.42229031721463,738,-3344.0,429,0.3618421052631579,856.0,-284.0,0.2571428571428571,18,52,400.3333333333333,-122.11538461538461
4,y,27,4,3,0.20008611620223937,736.0,79.12336857927868,738,-2418.0,433,0.304383788254756,482.0,-204.0,0.3,15,35,345.06666666666666,-134.11428571428573
5,y,19,3,1,0.1380188987487405,432.0,67.32697429743763,738,-1680.0,426,0.2571428571428571,22.0,-328.0,0.25925925925925924,21,60,208.38095238095238,-72.56666666666666
6,y,26,4,2,-0.07229702690160172,-162.0,48.19905074345748,738,-1408.0,195,-0.11505681818181818,-350.0,-130.0,0.3125,10,22,305.6,-154.8181818181818
7,y,13,2,1,-0.08464453380865102,-278.0,70.64635951553939,738,-2156.0,426,-0.12894248608534323,-740.0,-380.0,0.23404255319148937,22,71,201.0,-72.70422535211267
8,y,21,3,3,-0.17086736235699512,-542.0,68.23136815873873,738,-2096.0,454,-0.258587786259542,-848.0,-256.0,0.3492063492063492,22,41,186.27272727272728,-120.63414634146342
9,y,23,3,5,-0.18329695498004134,-974.0,114.30036444517657,738,-3090.0,454,-0.315210355987055,-1472.0,-426.0,0.3238095238095238,34,71,182.1764705882353,-107.97183098591549
0,p,24,4,0,0.7497427882701806,1670.0,47.91241730811221,738,-546.0,299,3.0586080586080584,1220.0,-142.0,0.34285714285714286,12,23,255.0,-80.0
1,p,2,0,2,0.665962290700214,1464.0,47.28630148192971,738,-730.0,239,2.0054794520547947,826.0,-234.0,0.4482758620689655,26,31,138.0,-89.09677419354838
2,p,27,4,3,0.6471360193261654,2778.0,92.33802405313656,738,-1198.0,167,2.318864774624374,2044.0,-192.0,0.44680851063829785,21,26,262.4761904761905,-133.3846153846154
3,p,26,4,2,0.6119719203106233,1480.0,52.02045284963249,738,-816.0,477,1.8137254901960784,1062.0,-110.0,0.48148148148148145,13,14,246.30769230769232,-152.85714285714286
4,p,25,4,1,0.4885944096882356,1944.0,85.58382165170276,738,-1342.0,128,1.4485842026825633,1072.0,-296.0,0.2465753424657534,18,55,243.33333333333334,-60.14545454545455
5,p,0,0,0,0.3979970963280105,824.0,44.53394994670787,738,-934.0,490,0.8822269807280514,142.0,-278.0,0.36231884057971014,25,43,133.76,-74.46511627906976
6,p,20,3,2,0.3814102546798427,800.0,45.117136724587446,738,-612.0,128,1.3071895424836601,342.0,-150.0,0.5135135135135135,19,18,134.94736842105263,-123.44444444444444
7,p,4,0,4,0.3751242320326891,1892.0,108.49005298509945,738,-2362.0,490,0.8010160880609652,316.0,-530.0,0.42748091603053434,56,74,130.89285714285714,-94.78378378378379
8,p,28,4,4,0.357846122470301,2130.0,128.03455498967259,738,-2288.0,384,0.9309440559440559,1062.0,-294.0,0.4027777777777778,29,43,210.20689655172413,-117.06976744186046
9,p,29,4,5,0.35577098488199904,2726.0,164.81594846213554,738,-3034.0,418,0.8984838497033619,1340.0,-388.0,0.35789473684210527,34,61,228.88235294117646,-105.60655737704919
0,l,25,4,1,0.7694149009361125,6875.0,192.20116609037103,738,-3470.0,189,1.9812680115273775,5550.0,-540.0,0.32075471698113206,17,36,616.4705882352941,-136.94444444444446
1,l,24,4,0,0.7086344354806581,3330.0,101.08015271584303,738,-2110.0,189,1.5781990521327014,2600.0,-305.0,0.3,9,21,653.8888888888889,-156.42857142857142
2,l,28,4,4,0.5880027327433919,7820.0,286.06934208243854,738,-5855.0,218,1.335610589239966,6140.0,-655.0,0.390625,25,39,578.0,-213.07692307692307
3,l,27,4,3,0.5451710832379276,5015.0,197.87094770628178,738,-4565.0,218,1.0985761226725081,3825.0,-460.0,0.35555555555555557,16,28,667.5,-244.82142857142858
4,l,29,4,5,0.5421100205761312,9330.0,370.20145155946744,738,-7325.0,218,1.2737201365187714,7120.0,-900.0,0.3409090909090909,30,58,623.6666666666666,-199.82758620689654
5,l,26,4,2,0.46748258159838957,2315.0,106.51958609502047,738,-2635.0,190,0.8785578747628083,1625.0,-265.0,0.38461538461538464,10,16,593.5,-269.375
6,l,0,0,0,0.4529456012451083,1980.0,94.0292673978621,738,-1840.0,187,1.076086956521739,880.0,-675.0,0.34328358208955223,23,44,245.65217391304347,-108.4090909090909
7,l,2,0,2,0.332684799171301,1490.0,96.33790975199302,738,-1790.0,188,0.8324022346368715,410.0,-655.0,0.35384615384615387,23,42,247.3913043478261,-125.71428571428571
8,l,1,0,1,0.2808822166533396,2295.0,175.75284124948675,738,-3190.0,213,0.719435736677116,275.0,-1230.0,0.32786885245901637,40,81,218.75,-104.62962962962963
9,l,6,1,0,0.18772717376120385,865.0,99.11351403054101,738,-1710.0,319,0.5058479532163743,-320.0,-625.0,0.3225806451612903,20,42,249.75,-126.54761904761905
0,pp,0,0,0,1.274221678511534,2426.0,75.74835078862039,399,-833.0,62,2.9123649459783914,1324.0,-69.0,0.47058823529411764,16,18,208.3125,-111.61111111111111
1,pp,6,1,0,1.0060893836377545,2104.0,83.20253219984612,399,-1101.0,217,1.9109900090826522,1010.0,-61.0,0.36666666666666664,11,19,288.54545454545456,-113.89473684210526
2,pp,3,0,3,0.9680034762379635,3282.0,134.89288230519557,399,-2160.0,203,1.5194444444444444,1215.0,-110.0,0.4074074074074074,22,32,235.27272727272728,-123.78125
3,pp,2,0,2,0.9374759070304366,1829.0,77.62130945666422,399,-1011.0,235,1.8090999010880318,727.0,-69.0,0.47058823529411764,16,18,208.3125,-144.77777777777777
4,pp,28,4,4,0.9128957727791754,5683.0,247.67594841543075,399,-3952.0,180,1.438006072874494,2895.0,-73.0,0.2571428571428571,9,26,829.2222222222222,-175.69230769230768
5,pp,24,4,0,0.9006295344418979,1983.0,87.59995925829347,399,-1390.0,162,1.4266187050359713,970.0,-35.0,0.17647058823529413,3,14,899.0,-123.35714285714286
6,pp,1,0,1,0.8664799798296479,2959.0,135.866944014124,399,-1954.0,238,1.5143295803480041,804.0,-144.0,0.352112676056338,25,46,200.56,-91.52173913043478
7,pp,7,1,1,0.854759768230926,3237.0,150.66972703650987,399,-2171.0,238,1.4910179640718564,1098.0,-128.0,0.31746031746031744,20,43,265.65,-98.02325581395348
8,pp,5,0,5,0.8494591858675826,5438.0,254.69713565615405,399,-4759.0,203,1.142677032990124,1436.0,-198.0,0.3711340206185567,36,61,252.11111111111111,-125.24590163934427
9,pp,25,4,1,0.808006510202782,3147.0,154.95630705949918,399,-2534.0,180,1.2419100236779794,1168.0,-84.0,0.12195121951219512,5,36,931.8,-96.97222222222223
0,a,26,4,2,0.28136084000286016,367.0,28.057328754748344,738,-584.0,210,0.6284246575342466,300.0,-59.0,0.41379310344827586,12,17,111.5,-61.05882352941177
1,a,27,4,3,-0.14312837707099932,-337.0,50.64633958125515,738,-1523.0,778,-0.22127380170715694,-430.0,-118.0,0.3103448275862069,18,40,103.33333333333333,-57.25
2,a,24,4,0,-0.15809037958684116,-193.0,26.260063706357776,738,-821.0,802,-0.2350791717417783,-282.0,-81.0,0.25,10,30,98.9,-42.36666666666667
3,a,25,4,1,-0.25189998587186946,-543.0,46.36770438921166,738,-1102.0,1008,-0.4927404718693285,-702.0,-164.0,0.19753086419753085,16,65,93.25,-33.753846153846155
4,a,6,1,0,-0.3173387421093708,-403.0,27.316550656363045,738,-797.0,959,-0.5056461731493099,-550.0,-139.0,0.2463768115942029,17,52,90.29411764705883,-40.09615384615385
