,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,98,4,14,1.2066946047992835,512.0,13.471093672358563,500,-173.0,105,2.959537572254335,430.0,-80.0,0.575,23,17,38.30434782608695,-26.529411764705884
1,m,80,3,17,1.169011628927202,552.0,14.991687208941544,500,-196.0,109,2.816326530612245,475.0,-78.0,0.5128205128205128,20,17,45.15,-25.176470588235293
2,m,99,4,15,1.1418469999960628,495.0,13.763457615405445,500,-175.0,113,2.8285714285714287,431.0,-74.0,0.5405405405405406,20,17,42.75,-24.941176470588236
3,m,72,3,9,1.0338660130904098,496.0,15.231675675636463,500,-249.0,109,1.9919678714859437,416.0,-76.0,0.5526315789473685,21,15,45.476190476190474,-35.93333333333333
4,m,78,3,15,1.0134239337794213,463.0,14.505079063461686,500,-173.0,113,2.6763005780346822,384.0,-92.0,0.5,23,22,42.52173913043478,-27.0
5,m,77,3,14,0.9990246015519957,449.0,14.269226245149754,500,-165.0,105,2.721212121212121,347.0,-100.0,0.52,26,23,38.76923076923077,-28.73913043478261
6,m,70,3,7,0.9975115403750765,460.0,14.640980726483678,500,-199.0,109,2.3115577889447234,362.0,-90.0,0.5333333333333333,24,20,39.041666666666664,-28.75
7,m,101,4,17,0.9898365083809789,445.0,14.273379372714608,500,-153.0,109,2.9084967320261437,384.0,-66.0,0.5454545454545454,18,14,42.5,-27.214285714285715
8,m,65,3,2,0.9850243760163507,482.0,15.53568211690994,500,-249.0,109,1.9357429718875503,409.0,-70.0,0.5428571428571428,19,15,49.63157894736842,-35.6
9,m,79,3,16,0.9735954926704269,445.0,14.511480494155808,500,-192.0,127,2.3177083333333335,369.0,-88.0,0.4772727272727273,21,21,42.38095238095238,-24.80952380952381
0,RM,99,4,15,1.7142176884343259,693.0,12.835048927134007,500,-150.0,24,4.62,605.0,-91.0,0.6,27,18,38.18518518518518,-23.666666666666668
1,RM,100,4,16,1.704125221076846,673.0,12.538449242982072,500,-158.0,6,4.2594936708860756,585.0,-81.0,0.6,24,16,39.791666666666664,-23.125
2,RM,98,4,14,1.613224997719633,622.0,12.241248315455467,500,-147.0,6,4.2312925170068025,520.0,-103.0,0.5294117647058824,27,23,38.111111111111114,-22.130434782608695
3,RM,78,3,15,1.6045430664890201,688.0,13.61342258761911,500,-150.0,24,4.586666666666667,599.0,-103.0,0.5490196078431373,28,23,40.392857142857146,-23.130434782608695
4,RM,79,3,16,1.5272527003895298,639.0,13.283735591411213,500,-158.0,6,4.044303797468355,554.0,-93.0,0.5652173913043478,26,20,40.46153846153846,-24.9
5,RM,77,3,14,1.5212147248443262,626.0,13.065140327741112,500,-178.0,122,3.5168539325842696,524.0,-115.0,0.49122807017543857,28,28,40.25,-21.535714285714285
6,RM,57,2,15,1.4801806552599408,680.0,14.585605224313424,500,-158.0,90,4.30379746835443,571.0,-125.0,0.5161290322580645,32,30,38.90625,-22.466666666666665
7,RM,58,2,16,1.4599628411586612,661.0,14.374406531271212,500,-171.0,90,3.865497076023392,557.0,-111.0,0.5272727272727272,29,26,40.3448275862069,-23.576923076923077
8,RM,91,4,7,1.4329981255606963,561.0,12.42932388283324,500,-160.0,24,3.50625,463.0,-87.0,0.6046511627906976,26,17,34.46153846153846,-25.470588235294116
9,RM,101,4,17,1.3661182477683844,552.0,12.828652800092872,500,-160.0,6,3.45,461.0,-79.0,0.5128205128205128,20,17,41.85,-22.11764705882353
0,y,86,4,2,1.0316740940893117,1022.0,31.451302562306246,500,-358.0,153,2.8547486033519553,948.0,-112.0,0.42857142857142855,12,16,157.83333333333334,-59.125
1,y,85,4,1,1.0300632530416052,980.0,30.205946407897795,500,-480.0,33,2.0416666666666665,840.0,-124.0,0.3870967741935484,12,19,161.66666666666666,-57.89473684210526
2,y,76,3,13,1.019704278980874,1024.0,31.88276520998249,500,-274.0,153,3.7372262773722627,904.0,-100.0,0.56,14,11,119.0,-69.27272727272727
3,y,97,4,13,1.0045601603174872,998.0,31.541682572097482,500,-260.0,33,3.8384615384615386,892.0,-88.0,0.5454545454545454,12,10,135.83333333333334,-73.8
4,y,94,4,10,0.9328852825601073,904.0,30.76595885794717,500,-442.0,153,2.0452488687782804,814.0,-112.0,0.4642857142857143,13,15,128.76923076923077,-57.333333333333336
5,y,73,3,10,0.8852542227728314,878.0,31.488848170713336,500,-446.0,153,1.968609865470852,780.0,-128.0,0.46875,15,17,115.06666666666666,-55.64705882352941
6,y,87,4,3,0.8714051277260849,884.0,32.207900796970534,500,-324.0,153,2.728395061728395,808.0,-104.0,0.46153846153846156,12,13,145.83333333333334,-72.46153846153847
7,y,75,3,12,0.8479146563423942,830.0,31.078225692990404,500,-432.0,153,1.9212962962962963,762.0,-114.0,0.5357142857142857,15,13,105.73333333333333,-63.38461538461539
8,y,96,4,12,0.8276655226569519,800.0,30.687774095849896,500,-418.0,153,1.9138755980861244,734.0,-102.0,0.52,13,12,118.92307692307692,-67.66666666666667
9,y,23,1,2,0.7895780052363899,922.0,37.073718253910556,500,-414.0,154,2.2270531400966185,794.0,-196.0,0.42857142857142855,21,28,113.23809523809524,-56.57142857142857
0,p,11,0,11,0.5075590462768338,666.0,41.65987116796526,500,-862.0,230,0.7726218097447796,338.0,-274.0,0.4264705882352941,29,38,95.65517241379311,-64.10526315789474
1,p,4,0,4,0.43642422308343704,582.0,42.33937114196897,500,-800.0,356,0.7275,264.0,-258.0,0.421875,27,37,99.4074074074074,-65.4054054054054
2,p,14,0,14,0.38377517781094034,438.0,36.2349356992704,500,-614.0,187,0.7133550488599348,24.0,-438.0,0.3944954128440367,43,64,68.13953488372093,-45.40625
3,p,15,0,15,0.34579119042341355,406.0,37.27712198718263,500,-674.0,256,0.6023738872403561,6.0,-418.0,0.3942307692307692,41,62,72.09756097560975,-47.58064516129032
4,p,10,0,10,0.26294346250458334,346.0,41.77764808793715,500,-776.0,338,0.44587628865979384,0.0,-306.0,0.4473684210526316,34,42,84.47058823529412,-68.38095238095238
5,p,3,0,3,0.2613388396857008,346.0,42.034163221783196,500,-796.0,257,0.43467336683417085,54.0,-290.0,0.4166666666666667,30,42,93.46666666666667,-65.47619047619048
6,p,46,2,4,0.2606722089262548,284.0,34.59026378473276,500,-758.0,392,0.37467018469656993,68.0,-162.0,0.425,17,23,95.05882352941177,-67.30434782608695
7,p,53,2,11,0.22988463449728652,248.0,34.250901192011426,500,-750.0,392,0.33066666666666666,20.0,-174.0,0.4186046511627907,18,25,95.33333333333333,-67.84
8,p,45,2,3,0.21871866653383576,236.0,34.25755941034777,500,-798.0,334,0.2957393483709273,62.0,-174.0,0.4186046511627907,18,25,99.33333333333333,-69.04
9,p,12,0,12,0.2034818535867511,264.0,41.19158542006896,500,-1068.0,356,0.24719101123595505,-32.0,-270.0,0.43283582089552236,29,37,87.03448275862068,-69.08108108108108
0,l,23,1,2,1.6567729021374777,3345.0,64.10079346971372,500,-515.0,47,6.495145631067961,2470.0,-535.0,0.4716981132075472,25,27,184.4,-79.25925925925925
1,l,86,4,2,1.5518775811277328,2440.0,49.918627171401205,500,-625.0,99,3.904,1945.0,-305.0,0.43333333333333335,13,17,256.9230769230769,-82.05882352941177
2,l,27,1,6,1.5262438691717606,3255.0,67.71070357600426,500,-565.0,57,5.761061946902655,2850.0,-335.0,0.45454545454545453,15,18,318.6666666666667,-107.22222222222223
3,l,48,2,6,1.5054769150118483,2970.0,62.63435578857741,500,-560.0,93,5.303571428571429,2605.0,-265.0,0.46153846153846156,12,13,337.0833333333333,-110.76923076923077
4,l,69,3,6,1.4989373995203763,2920.0,61.848564169102254,500,-560.0,93,5.214285714285714,2570.0,-235.0,0.4782608695652174,11,12,367.27272727272725,-122.5
5,l,65,3,2,1.4925803838202156,2445.0,52.008149315183104,500,-585.0,144,4.17948717948718,1875.0,-375.0,0.40540540540540543,15,22,245.33333333333334,-82.04545454545455
6,l,95,4,11,1.4519178239158865,2335.0,51.059330297418136,500,-540.0,78,4.324074074074074,1965.0,-265.0,0.5384615384615384,14,11,230.35714285714286,-114.54545454545455
7,l,38,1,17,1.4419571938719256,2845.0,62.64121441580594,500,-575.0,44,4.947826086956522,1895.0,-695.0,0.4782608695652174,33,36,136.36363636363637,-72.36111111111111
8,l,34,1,13,1.4197382887722811,2760.0,61.72072988059999,500,-485.0,35,5.690721649484536,2380.0,-375.0,0.5135135135135135,19,18,229.21052631578948,-109.72222222222223
9,l,55,2,13,1.4167145536553314,2490.0,55.80167788256029,500,-525.0,100,4.742857142857143,2135.0,-295.0,0.5172413793103449,15,13,243.0,-116.15384615384616
0,pp,35,1,14,1.903481013156556,2386.0,49.87113644432757,399,-500.0,146,4.772,1568.0,-137.0,0.5147058823529411,35,32,108.25714285714285,-69.40625
1,pp,36,1,15,1.8234759136121814,2523.0,55.0483865101381,399,-612.0,107,4.122549019607843,1740.0,-119.0,0.4745762711864407,28,30,140.14285714285714,-72.8
2,pp,15,0,15,1.7782540181803743,2858.0,63.943411128140745,399,-550.0,64,5.196363636363636,2024.0,-175.0,0.45977011494252873,40,47,132.275,-69.51063829787235
3,pp,56,2,14,1.776167544990726,1972.0,44.17233479532194,399,-426.0,87,4.629107981220657,1203.0,-101.0,0.5,25,25,107.96,-59.84
4,pp,98,4,14,1.7321885228783793,1743.0,40.03405717552022,399,-430.0,163,4.053488372093023,1018.0,-75.0,0.5405405405405406,20,17,109.25,-68.6470588235294
5,pp,77,3,14,1.7200181724217076,1856.0,42.93112915303451,399,-395.0,93,4.69873417721519,1100.0,-89.0,0.5227272727272727,23,21,104.65217391304348,-62.23809523809524
6,pp,14,0,14,1.6783656615875273,2539.0,60.18710996083978,399,-618.0,29,4.108414239482201,1640.0,-197.0,0.47959183673469385,47,51,111.42553191489361,-70.52941176470588
7,pp,99,4,15,1.6040170918126664,1797.0,44.57244524679624,399,-346.0,92,5.19364161849711,1092.0,-65.0,0.5,16,16,136.4375,-68.1875
8,pp,57,2,15,1.5821075848865966,1972.0,49.59047551468449,399,-623.0,77,3.1653290529695024,1242.0,-89.0,0.4772727272727273,21,23,129.57142857142858,-64.30434782608695
9,pp,78,3,15,1.5579024308913858,1896.0,48.42007443475173,399,-416.0,40,4.5576923076923075,1187.0,-77.0,0.5,19,19,128.52631578947367,-66.05263157894737
0,a,4,0,4,0.5082030550108784,422.0,26.363644427411586,500,-533.0,192,0.7917448405253283,160.0,-133.0,0.3939393939393939,26,40,60.26923076923077,-35.175
1,a,5,0,5,0.48140402825993334,410.0,27.0398577624889,500,-556.0,86,0.737410071942446,193.0,-117.0,0.41379310344827586,24,34,61.041666666666664,-37.411764705882355
2,a,3,0,3,0.34409641442358996,283.0,26.111784592194734,500,-412.0,131,0.6868932038834952,33.0,-149.0,0.4189189189189189,31,43,45.354838709677416,-31.930232558139537
3,a,12,0,12,0.30895654482886875,248.0,25.484994681337795,500,-505.0,86,0.4910891089108911,41.0,-134.0,0.43283582089552236,29,38,45.10344827586207,-33.3421052631579
4,a,11,0,11,0.2936534722841231,235.0,25.40756163776354,500,-465.0,86,0.5053763440860215,-48.0,-146.0,0.4383561643835616,32,41,41.84375,-33.829268292682926
5,a,19,0,19,0.21179981312616186,155.0,23.234663741883523,500,-406.0,217,0.3817733990147783,-154.0,-179.0,0.3707865168539326,33,56,45.303030303030305,-29.446428571428573
6,a,20,0,20,0.20258217738909862,151.0,23.664971111654264,500,-419.0,128,0.360381861575179,-138.0,-167.0,0.3493975903614458,29,54,50.310344827586206,-29.574074074074073
7,a,6,0,6,0.19032723891179218,163.0,27.190483054507784,500,-608.0,86,0.2680921052631579,-67.0,-109.0,0.35185185185185186,19,34,68.42105263157895,-40.205882352941174
8,a,25,1,4,0.1448120743984156,103.0,22.58201627219845,500,-529.0,316,0.1947069943289225,-105.0,-97.0,0.4791666666666667,23,25,43.0,-43.76
9,a,13,0,13,0.13994220875109767,114.0,25.863446245684404,500,-625.0,221,0.1824,-88.0,-122.0,0.36065573770491804,22,37,54.77272727272727,-34.945945945945944
0,rb,10,0,10,1.98256885979452,1221.0,19.553191314492945,500,-181.0,183,6.745856353591161,1032.0,-157.0,0.5,39,39,48.56410256410256,-22.102564102564102
1,rb,1,0,1,1.9482572826478972,1161.0,18.91978415481873,500,-144.0,119,8.0625,897.0,-181.0,0.4444444444444444,40,48,47.75,-21.104166666666668
2,rb,2,0,2,1.935013066710076,1179.0,19.344618490139787,500,-193.0,183,6.108808290155441,956.0,-167.0,0.4578313253012048,38,45,48.921052631578945,-20.066666666666666
