,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,m,79,3,16,1.5604447342020402,840.0,17.09075152166078,500,-172.0,109,4.883720930232558,707.0,-132.0,0.4696969696969697,31,34,43.54838709677419,-18.91176470588235
1,m,78,3,15,1.5110935747903826,818.0,17.186688701930752,500,-214.0,127,3.822429906542056,686.0,-144.0,0.4861111111111111,35,36,41.4,-21.194444444444443
2,m,80,3,17,1.3837649385989943,751.0,17.230896773157642,500,-222.0,109,3.3828828828828827,611.0,-118.0,0.4576271186440678,27,29,46.333333333333336,-22.06896551724138
3,m,77,3,14,1.3025354857844205,676.0,16.47735118896265,500,-196.0,127,3.4489795918367347,526.0,-162.0,0.41975308641975306,34,46,42.05882352941177,-19.652173913043477
4,m,81,3,18,1.1256698044264546,625.0,17.62784677616435,500,-205.0,109,3.048780487804878,504.0,-112.0,0.42857142857142855,24,30,49.541666666666664,-22.833333333333332
5,m,63,3,0,1.1127106499847768,596.0,17.005690901756747,500,-239.0,127,2.493723849372385,470.0,-128.0,0.4375,28,35,46.32142857142857,-23.62857142857143
6,m,70,3,7,1.1027422997548786,586.0,16.87150590264087,500,-243.0,127,2.411522633744856,437.0,-136.0,0.4117647058823529,28,39,45.892857142857146,-21.743589743589745
7,m,64,3,1,1.0605880881556398,562.0,16.823634963549747,500,-244.0,109,2.30327868852459,471.0,-114.0,0.43859649122807015,25,31,49.44,-24.677419354838708
8,m,58,2,16,1.0000202377711482,591.0,18.76328857092999,500,-259.0,109,2.281853281853282,430.0,-154.0,0.45454545454545453,35,41,41.02857142857143,-24.536585365853657
9,m,57,2,15,0.9978330195418227,592.0,18.83623506709889,500,-248.0,127,2.3870967741935485,439.0,-164.0,0.47560975609756095,39,42,39.333333333333336,-26.071428571428573
0,RM,58,2,16,1.979043148845411,976.0,15.657586532798218,500,-135.0,38,7.229629629629629,809.0,-155.0,0.4805194805194805,37,38,40.432432432432435,-18.07894736842105
1,RM,49,2,7,1.9378397239900422,948.0,15.531762788254952,500,-183.0,37,5.180327868852459,781.0,-161.0,0.5125,41,38,38.24390243902439,-20.710526315789473
2,RM,42,2,0,1.853319704717073,941.0,16.120167356177863,500,-168.0,37,5.601190476190476,785.0,-151.0,0.5066666666666667,38,36,39.63157894736842,-20.02777777777778
3,RM,57,2,15,1.798686754344301,904.0,15.956702940691569,500,-155.0,37,5.832258064516129,730.0,-187.0,0.44086021505376344,41,52,40.09756097560975,-17.576923076923077
4,RM,56,2,14,1.7387670219442442,846.0,15.447536657265298,500,-141.0,40,6.0,632.0,-207.0,0.4368932038834951,45,56,37.24444444444445,-18.642857142857142
5,RM,59,2,17,1.6894176615780425,848.0,15.936358399523906,500,-160.0,77,5.3,684.0,-145.0,0.4722222222222222,34,35,40.61764705882353,-19.914285714285715
6,RM,78,3,15,1.6833712098822338,866.0,16.33308652493036,500,-204.0,37,4.245098039215686,717.0,-165.0,0.4878048780487805,40,41,39.35,-20.902439024390244
7,RM,50,2,8,1.652030570843872,815.0,15.662814162690879,500,-154.0,38,5.292207792207792,675.0,-145.0,0.5,36,35,39.361111111111114,-21.2
8,RM,70,3,7,1.620502967275166,812.0,15.9087649301637,500,-240.0,37,3.3833333333333333,670.0,-145.0,0.5277777777777778,38,32,38.526315789473685,-24.8125
9,RM,79,3,16,1.6025585207092043,819.0,16.225581499286243,500,-207.0,37,3.9565217391304346,676.0,-145.0,0.5,36,34,39.80555555555556,-22.264705882352942
0,y,65,3,2,0.9926443231462794,1116.0,35.69445845967493,500,-374.0,112,2.983957219251337,1012.0,-168.0,0.4523809523809524,19,22,120.21052631578948,-57.81818181818182
1,y,80,3,17,0.9721029992611527,1060.0,34.61974369209878,500,-402.0,33,2.63681592039801,824.0,-218.0,0.42592592592592593,23,30,104.26086956521739,-52.46666666666667
