,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
0,rb,29,0,1,0,0,1,1.43378598196,998.0,26.4344451962,418,-210.0,29,4.75238095238,998.0,598.0,0.404682274247,121,178,32.7355371901,-16.6460674157
1,rb,43,0,1,1,0,1,1.40973775483,1062.0,28.6094938466,418,-255.0,29,4.16470588235,1062.0,604.0,0.394039735099,119,183,34.7647058824,-16.8032786885
2,rb,80,0,2,1,1,3,1.32326662658,1493.0,42.8485802784,418,-506.0,57,2.95059288538,1493.0,152.0,0.460526315789,35,41,100.542857143,-49.4146341463
3,rb,36,0,1,0,1,1,1.31716576902,983.0,28.3424292281,418,-254.0,29,3.87007874016,983.0,618.0,0.404530744337,125,184,32.216,-16.5434782609
4,rb,50,0,1,1,1,1,1.31067026277,950.0,27.5266998831,418,-251.0,29,3.78486055777,950.0,608.0,0.411184210526,125,179,31.544,-16.7206703911
5,rb,85,1,0,0,0,1,1.26602220148,801.0,24.0278649878,418,-244.0,34,3.28278688525,801.0,512.0,0.41015625,105,151,32.9714285714,-17.6225165563
6,rb,99,1,0,1,0,1,1.21257654829,769.0,24.0846957171,418,-249.0,34,3.08835341365,769.0,514.0,0.408560311284,105,152,32.7428571429,-17.5592105263
7,rb,186,2,0,1,0,4,1.16976802378,1637.0,53.1462862702,418,-451.0,22,3.62971175166,1637.0,130.0,0.476923076923,31,34,119.967741935,-61.2352941176
8,rb,109,1,0,1,1,4,1.16316654708,1780.0,58.1168527607,418,-567.0,30,3.139329806,1780.0,184.0,0.380434782609,35,57,143.485714286,-56.8771929825
9,rb,179,2,0,0,1,4,1.15992555732,1597.0,52.287609508,418,-479.0,22,3.33402922756,1597.0,128.0,0.46875,30,34,123.733333333,-62.2058823529
10,rb,44,0,1,1,0,2,1.15714979947,1104.0,36.2329318868,418,-365.0,72,3.02465753425,1104.0,326.0,0.398773006135,65,98,60.1538461538,-28.6326530612
11,rb,172,2,0,0,0,4,1.15008525228,1609.0,53.1312456853,418,-509.0,21,3.16110019646,1609.0,128.0,0.46875,30,34,125.833333333,-63.7058823529
12,rb,52,0,1,1,1,3,1.14853993341,1431.0,47.3170349783,418,-444.0,83,3.22297297297,1431.0,224.0,0.401785714286,45,67,101.2,-46.6119402985
13,rb,73,0,2,1,0,3,1.14648559899,1310.0,43.3936998159,418,-469.0,57,2.79317697228,1310.0,156.0,0.423076923077,33,45,103.545454545,-46.8222222222
14,rb,53,0,1,1,1,4,1.14075639802,1694.0,56.3955038879,418,-537.0,16,3.15456238361,1694.0,178.0,0.370786516854,33,56,150.03030303,-58.1607142857
15,rb,13,0,0,0,1,6,1.13855993315,1999.0,66.6777422873,418,-882.0,32,2.2664399093,1999.0,112.0,0.464285714286,26,30,190.115384615,-98.1333333333
16,rb,81,0,2,1,1,4,1.12220363744,1518.0,51.3717177917,418,-525.0,21,2.89142857143,1518.0,128.0,0.46875,30,34,127.5,-67.8529411765
17,rb,30,0,1,0,0,2,1.11900478554,1075.0,36.4838371918,418,-338.0,72,3.18047337278,1075.0,326.0,0.40490797546,66,97,58.8333333333,-28.9484536082
18,rb,59,0,2,0,0,3,1.10949926945,1238.0,42.3757709708,418,-497.0,57,2.49094567404,1238.0,158.0,0.443037974684,35,44,94.5428571429,-47.0681818182
19,rb,185,2,0,1,0,3,1.10842220455,1263.0,43.2735098831,418,-360.0,121,3.50833333333,1263.0,158.0,0.455696202532,36,43,90.3611111111,-46.2790697674
20,rb,71,0,2,1,0,1,1.08729022095,651.0,22.7383786962,418,-205.0,78,3.1756097561,651.0,420.0,0.385714285714,81,129,34.5308641975,-16.6356589147
21,rb,79,0,2,1,1,2,1.07645557577,852.0,30.0585115874,418,-414.0,94,2.05797101449,852.0,212.0,0.481132075472,51,55,54.431372549,-34.9818181818
22,rb,45,0,1,1,0,3,1.06979350165,1346.0,47.7825247045,418,-453.0,64,2.97130242826,1346.0,232.0,0.379310344828,44,72,102.136363636,-43.7222222222
23,rb,78,0,2,1,1,1,1.06643435568,630.0,22.4352240217,418,-193.0,78,3.26424870466,630.0,432.0,0.384259259259,83,133,33.6987951807,-16.2932330827
24,rb,22,0,0,1,1,1,1.05737017579,888.0,31.894066681,418,-275.0,15,3.22909090909,888.0,824.0,0.390776699029,161,251,31.8695652174,-16.9043824701
25,rb,95,1,0,0,1,4,1.05476370758,1687.0,60.7412734991,418,-707.0,36,2.38613861386,1687.0,190.0,0.378947368421,36,59,142.861111111,-58.5762711864
26,rb,193,2,0,1,1,4,1.04953694504,1420.0,51.3824256026,418,-476.0,22,2.98319327731,1420.0,126.0,0.444444444444,28,35,129.0,-62.6285714286
27,rb,67,0,2,0,1,4,1.04860325144,1498.0,54.253105413,418,-618.0,27,2.42394822006,1498.0,130.0,0.476923076923,31,34,126.967741935,-71.7058823529
28,rb,64,0,2,0,1,1,1.04824224867,634.0,22.969502394,418,-202.0,78,3.13861386139,634.0,430.0,0.386046511628,83,132,34.3855421687,-16.8181818182
29,rb,37,0,1,0,1,2,1.04528468779,988.0,35.8960238165,418,-433.0,72,2.2817551963,988.0,322.0,0.422360248447,68,93,56.6470588235,-30.7956989247
0,hc,18,0,0,1,0,4,1.21259663906,2099.0,65.738541893,418,-666.0,23,3.15165165165,2099.0,212.0,0.452830188679,48,58,121.791666667,-64.6034482759
1,hc,25,0,0,1,1,4,1.11559575316,1876.0,63.8630962326,418,-666.0,23,2.81681681682,1876.0,204.0,0.43137254902,44,58,127.954545455,-64.724137931
2,hc,102,1,0,1,0,4,1.05531142626,1681.0,60.4938272258,418,-491.0,24,3.42362525458,1681.0,182.0,0.483516483516,44,47,111.409090909,-68.5319148936
3,hc,11,0,0,0,1,4,0.974177929644,1662.0,64.7913041647,418,-663.0,23,2.50678733032,1662.0,208.0,0.442307692308,46,58,122.565217391,-68.5517241379
